,0,1,2,3,4
103,Samsung Galaxy A10e,Samsung Galaxy S9,Samsung Galaxy Express Prime 3,Sony Cyber-shot DSC-H300,Lenovo 730S 81JB
104,VIZIO D43N-E4 D-Series,LG K20,LG K20 Plus (TP260),FUJIFILM FinePix XP140,Lenovo ThinkPad E470
105,Apple Watch Series 2,ZTE Zmax,HUAWEI Mate 9,Pentax K-1 Mark II,Dell Optiplex 7440
106,Sony Xperia Z3,Samsung Galaxy NOTE10+ 5G,Google Pixel 4,Nikon COOLPIX B700,ASUS ZenBook UX305CA
107,Honor 6X,LG G6+,OnePlus 5,FUJIFILM X10,Lenovo Yoga 3 1470
108,ZTE Zmax,HTC One (M8),Samsung ATIV Smart PC Pro 700T,Panasonic Lumix S1R,Lenovo IdeaPad Miix 520
109,Animals,Motorola Moto Z3,Nokia 3,Panasonic Lumix DC-GX9,Getac S410 G2
110,Apple iPhone 4,Google Pixel 2 XL,LG VOLT,Panasonic Lumix DMC-FZ2500,ASUS ZenBook UX330UA AH5Q
111,Sony XPERIA 5,LG K8,VIZIO D43-E2 D-Series,Sony A6600,Lenovo Yoga 900-13ISK2
112,BlackBerry KEY2,Samsung Galaxy Note II,Nokia Lumia 635,Headache,HP Laserjet Pro M404N
113,GE AJCQ10ACD,LG Phoenix Plus,Jitterbug Smart2,FUJIFILM X100S,Dell Latitude 7212 Rugged Extreme Tablet
114,Samsung Galaxy S8+,Sonim XP5,Nokia 3310,Sony Cyber-Shot DSC-RX1R,HP Spectre - 13t
115,Apple MacBook Air - 11.6,Nokia 8,Lenovo 700-15ISK 80RU,Leica SL,Lenovo IdeaPad Miix 720
116,Google Nexus 10,Huawei P11,ZTE Tempo X,FUJIFILM X-T2,Lenovo Yoga 720
117,LG Phoenix Plus,Royole FlexPai,LG V50 ThinQ 5G,FUJIFILM GFX 50S,Lenovo ThinkPad 13
118,Sony XPERIA 10 Plus,Google Pixel 3A,Kyocera Duraxv LTE,Canon PowerShot G3 X,Lenovo ThinkPad A485
119,Samsung Galaxy C7,LG V50 ThinQ 5G,Lenovo 700,Hasselblad X1D,ASUS ZenPad 3S 10
120,Huawei P20,Lenovo 700-15ISK 80RU,Samsung Galaxy J2 Shine,Panasonic Lumix DMC-S1,Lenovo ThinkPad L380
121,Apple iPad Pro,LG G4,Huawei P20,Panasonic Lumix FZ2000 / FZ2500,Lenovo IdeaPad S940
122,Huawei P9,Sony Xperia XZ3,BlackBerry KEY2,Canon EOS 700D,Lenovo ThinkPad Helix
123,Kyocera Duraxv LTE,Samsung Galaxy Express Prime 3,Sonim XP8,Panasonic LUMIX G80,Dell XPS 13 (9350)
124,Doro 7050,Google Pixel,Samsung Galaxy J1,Ricoh GR Digital II,HP - ENVY 2-in-1 15.6
125,HTC One (A9),Google Pixel 3 XL,Samsung Galaxy A5,OLYMPUS PEN E-PL8,Apple iPad Pro
126,Alcatel GO FLIP,Google Pixel XL,Xiaomi Redmi Note 5,FUJIFILM X Series X-T3,Lenovo Yoga Book With Windows
127,OnePlus 2,ZTE Prestige,Samsung Galaxy Tab S6,Sony Alpha 7R,Lenovo ThinkPad E575
128,Huawei P8 Lite,OnePlus 5,Honor 8 Pro,Sony RX100 VII,Lenovo ThinkPad E480
129,Samsung Galaxy Note8,OnePlus 3,Essential Phone,Sony Alpha A5100,ASUS ZenBook S UX391FA
130,Samsung Galaxy S7,LG V35 ThinQ,VIZIO D43-D1 D-Series,Sony A7R III,ASUS VivoBook F510UA AH51
